name,season,status,format,number_of_clubs,total_matches,matches_completed,game_week,total_game_week,progress,average_goals_per_match,average_scored_home_team,average_scored_away_team,btts_percentage,clean_sheets_percentage,prediction_risk,home_scored_advantage_percentage,home_defence_advantage_percentage,home_advantage_percentage,average_corners_per_match,average_corners_per_match_home_team,average_corners_per_match_away_team,total_corners_for_season,average_cards_per_match,average_cards_per_match_home_team,average_cards_per_match_away_team,total_cards_for_season,over_05_percentage,over_15_percentage,over_25_percentage,over_35_percentage,over_45_percentage,over_55_percentage,under_05_percentage,under_15_percentage,under_25_percentage,under_35_percentage,under_45_percentage,under_55_percentage,over_65_corners_percentage,over_75_corners_percentage,over_85_corners_percentage,over_95_corners_percentage,over_105_corners_percentage,over_115_corners_percentage,over_125_corners_percentage,over_135_corners_percentage,over_05_cards_percentage,over_15_cards_percentage,over_25_cards_percentage,over_35_cards_percentage,over_45_cards_percentage,over_55_cards_percentage,over_65_cards_percentage,over_75_cards_percentage,goals_min_0_to_10,goals_min_11_to_20,goals_min_21_to_30,goals_min_31_to_40,goals_min_41_to_50,goals_min_51_to_60,goals_min_61_to_70,goals_min_71_to_80,goals_min_81_to_90,goals_min_0_to_15,goals_min_16_to_30,goals_min_31_to_45,goals_min_46_to_60,goals_min_61_to_75,goals_min_76_to_90,xg_avg_per_match,Season
Premier League,2007/2008,Completed,,20,380,380,0,0,100,2.64,1.53,1.11,49,56,68,38,27,33,0.0,0.0,0.0,0,3.61,1.54,2.07,1310,93,74,45,27,12,6,7,26,55,73,88,94,0,0,0,0,0,0,0,0,100,85,68,47,28,16,8,4,79,101,93,76,111,127,99,121,195,132,141,142,172,152,263,0.0,2007-to-2008
Premier League,2008/2009,Completed,,20,380,380,0,0,100,2.48,1.4,1.08,46,65,71,30,23,27,0.0,0.0,0.0,0,3.57,1.54,2.03,1297,89,70,48,25,11,3,11,30,52,75,89,97,0,0,0,0,0,0,0,0,100,85,67,44,27,17,10,5,78,77,97,79,107,106,116,97,185,114,138,146,146,159,239,0.0,2008-to-2009
Premier League,2009/2010,Completed,,20,380,380,38,38,100,2.77,1.7,1.07,50,57,79,59,37,48,0.0,0.0,0.0,0,3.75,1.57,2.18,1334,92,76,53,30,14,7,8,24,47,70,86,93,0,0,0,0,0,0,0,0,100,88,71,48,34,19,9,4,77,97,97,103,135,127,110,116,191,119,152,191,174,169,248,0.0,2009-to-2010
Premier League,2010/2011,Completed,,20,380,380,38,38,100,2.8,1.62,1.17,56,50,74,38,28,33,0.0,0.0,0.0,0,3.78,1.66,2.12,1346,93,79,54,30,14,7,7,21,46,70,86,93,0,0,0,0,0,0,0,0,100,88,72,52,31,17,10,4,85,108,101,97,148,112,108,118,186,135,159,182,175,163,249,0.0,2010-to-2011
Premier League,2011/2012,Completed,,20,380,380,38,38,100,2.81,1.59,1.22,53,54,76,30,23,27,0.0,0.0,0.0,0,3.62,1.59,2.03,1281,93,79,54,28,14,6,7,21,46,71,86,94,0,0,0,0,0,0,0,0,100,87,68,43,28,17,9,4,80,97,103,106,121,128,139,99,193,134,146,184,171,195,236,0.0,2011-to-2012
Premier League,2012/2013,Completed,,20,380,380,38,38,100,2.8,1.56,1.24,56,53,79,26,21,24,11.04,6.25,4.79,4197,3.38,1.49,1.89,1283,91,75,56,32,15,7,9,25,44,68,85,93,91,84,75,65,53,44,36,25,94,83,64,43,27,14,7,3,92,94,92,105,133,129,122,129,167,135,143,186,181,187,231,0.0,2012-to-2013
Premier League,2013/2014,Completed,,20,380,380,38,38,100,2.77,1.57,1.19,46,61,72,32,24,28,10.76,6.09,4.67,4088,3.48,1.52,1.97,1323,93,73,52,33,17,6,7,27,48,67,83,94,90,81,72,61,51,38,30,23,95,84,66,45,28,16,7,3,86,100,97,103,137,116,122,113,178,128,155,180,176,185,228,0.0,2013-to-2014
Premier League,2014/2015,Completed,,20,380,380,38,38,100,2.57,1.47,1.09,49,59,62,35,26,31,10.71,6.04,4.66,4068,3.96,1.76,2.2,1503,92,72,48,26,11,4,8,28,52,74,89,96,88,81,74,63,51,41,28,22,97,87,74,54,37,25,13,4,77,112,92,106,116,104,111,105,152,130,151,181,145,163,205,0.0,2014-to-2015
Premier League,2015/2016,Completed,,20,380,380,38,38,100,2.7,1.49,1.21,52,56,68,23,19,21,10.81,5.93,4.88,4107,3.43,1.57,1.86,1304,92,73,53,31,13,6,8,27,47,69,87,94,91,85,73,60,47,38,28,22,94,81,66,46,28,15,7,3,75,96,100,93,144,113,128,104,173,117,154,186,164,177,228,0.0,2015-to-2016
Premier League,2016/2017,Completed,,20,380,380,38,38,100,2.8,1.6,1.2,51,56,73,33,25,29,10.38,5.65,4.73,3946,3.88,1.87,2.01,1474,93,77,54,32,13,6,7,23,46,68,87,94,88,81,71,59,47,34,26,17,96,87,72,56,35,23,12,5,87,93,86,106,138,130,114,119,191,132,134,196,178,176,248,3.26,2016-to-2017
