timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1534608000,Aug 18 2018 - 4:00pm,complete,28375,Chievo,Juventus,Fabrizio Pasqua,1,0.00,0.00,0.53,2.16,2,3,5,2,1,1,"38,56","3,75,90'3",0,8,2,0,0,0,0,2,0,0,7,24,3,11,4,13,8,9,27,73,0.00,0.00,0.82,2.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,9.99,5.34,1.31,1.22,1.71,2.80,5.50,2.45,1.48,Stadio Marc'Antonio Bentegodi (Verona)
1534617000,Aug 18 2018 - 6:30pm,complete,32000,Lazio,Napoli,Luca Banti,1,0.00,0.00,1.68,1.89,1,2,3,2,1,1,"25","45'2,59",4,7,0,0,0,0,0,0,0,0,8,9,2,4,6,5,8,5,35,65,0.00,0.00,0.97,1.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.94,3.67,2.42,1.23,1.74,2.90,5.50,1.61,2.20,Stadio Olimpico (Roma)
1534694400,Aug 19 2018 - 4:00pm,complete,19558,Torino,Roma,Marco Di Bello,1,0.00,0.00,2.00,1.32,0,1,1,0,0,0,"","89",6,5,1,0,3,0,0,1,1,2,11,13,5,7,6,6,10,14,42,58,0.00,0.00,1.45,1.78,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.68,3.61,2.10,1.22,1.71,2.80,6.10,1.65,2.10,Stadio Olimpico Grande Torino (Torino)
1534703400,Aug 19 2018 - 6:30pm,complete,21158,Bologna,SPAL,Piero Giacomelli,1,0.00,0.00,1.63,1.05,0,1,1,0,0,0,"","71",7,0,3,1,2,0,1,3,1,1,10,12,4,6,6,6,16,15,40,60,0.00,0.00,1.38,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.06,3.34,4.13,1.49,2.50,4.90,7.25,2.05,1.67,Stadio Renato Dall'Ara (Bologna)
1534703400,Aug 19 2018 - 6:30pm,complete,7335,Empoli,Cagliari,Daniele Chiffi,1,0.00,0.00,1.58,0.58,2,0,2,1,1,0,"14,51","",6,6,3,0,3,0,1,2,1,2,9,13,5,4,4,9,19,19,45,55,0.00,0.00,1.18,1.48,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.33,3.33,3.37,1.30,1.95,3.40,7.00,1.77,1.95,Stadio Carlo Castellani (Empoli)
1534703400,Aug 19 2018 - 6:30pm,complete,13141,Parma,Udinese,Giampaolo Calvarese,1,0.00,0.00,1.16,0.74,2,2,4,1,1,0,"43,59","65,69",4,5,2,0,2,0,0,2,0,2,7,16,5,6,2,10,14,13,44,56,0.00,0.00,1.05,1.79,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.38,3.31,3.29,1.36,2.10,3.90,9.00,1.87,1.83,Stadio Ennio Tardini (Parma)
1534703400,Aug 19 2018 - 6:30pm,complete,18000,Sassuolo,Inter Milan,Maurizio Mariani,1,0.00,0.00,1.32,1.63,1,0,1,1,1,0,"27","",4,4,3,0,2,0,2,1,1,1,8,12,3,4,5,8,23,11,37,63,0.00,0.00,0.92,1.49,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.91,3.79,1.79,1.25,1.80,3.00,6.50,1.83,1.87,MAPEI Stadium - Città del Tricolore (Reggio nell'Emilia)
1534789800,Aug 20 2018 - 6:30pm,complete,18217,Atalanta,Frosinone,Marco Piccinini,1,0.00,0.00,1.84,0.84,4,0,4,1,1,0,"14,48,61,90'2","",4,4,0,0,2,0,0,0,1,1,17,7,10,0,7,7,15,11,58,42,0.00,0.00,2.16,0.63,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.47,4.37,8.67,1.24,1.77,2.95,5.50,2.20,1.61,Gewiss Stadium (Bergamo)
1535212800,Aug 25 2018 - 4:00pm,complete,40171,Juventus,Lazio,Massimiliano Irrati,2,0.00,0.00,2.58,1.42,2,0,2,1,1,0,"30,75","",6,2,3,0,2,0,1,2,0,2,13,10,8,3,5,7,11,14,55,45,0.00,0.00,1.67,1.10,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.37,4.94,9.92,1.19,1.62,2.55,4.65,1.83,1.87,Allianz Stadium (Torino)
1535221800,Aug 25 2018 - 6:30pm,complete,30000,Napoli,AC Milan,Paolo Valeri,2,0.00,0.00,2.26,1.47,3,2,5,1,0,1,"53,67,80","15,49",5,1,2,0,2,0,1,1,1,1,18,8,9,4,9,4,11,11,50,50,0.00,0.00,2.23,0.96,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.57,4.25,6.26,1.26,1.83,3.10,5.50,1.83,1.87,Stadio San Paolo (Napoli)
