team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
SSC Napoli,Napoli,2023/2024,Italy,38,19,19,0,13,6,7,14,7,7,11,6,5,1.39,1.32,1.47,9,11,4,9,55,48,7,103,51,52,24,31,27,21,-3,10,62,71,55,71,63,81,7,3,4,22,12,10,13,6,7,13,6,7,240,142,98,81,40,41,61,63,60,512,318,194,246,144,102,266,174,92,381,182,199,19,8,11,20,10,10,-1,-2,1,10,4,6,17,11,6,11,4,7,1.24,1.21,1.26,2.71,2.68,2.74,1.45,1.26,1.63,1.26,1.42,1.11,1.03,0.95,1.11,0.5,0.42,0.58,0.53,0.53,0.53,34,30,21,12,3,2,17,16,12,5,1,0,17,14,9,7,2,2,4,8,17,26,35,36,2,3,7,14,18,19,2,5,10,12,17,17,89,79,55,32,8,5,89,84,63,26,5,0,89,74,47,37,11,11,11,21,45,68,92,95,11,16,37,74,95,100,11,26,53,63,89,89,24,11,3,11,7,0,13,4,3,63,29,8,58,37,0,68,21,16,34,32,37,-13,18,16,21,58,63,53,34,32,37,34,32,37,22,12,10,58,63,53,24,12,12,63,63,63,6,3,3,16,16,16,26,21,32,45,58,32,29,21,37,6.32,7.47,5.16,2.13,2.11,2.16,87,76,68,57,39,26,13,11,1.88,2.24,1.52,1.15,1.11,1.18,79,1,5,3,3,9,7,9,7,11,5,2,5,3,7,7,5,5,9,37,37,37,29,32,26,11
Juventus FC,Juventus,2023/2024,Italy,38,19,19,0,19,11,8,14,7,7,5,1,4,1.87,2.11,1.63,3,6,3,3,54,31,23,85,37,48,26,28,11,20,15,8,63,66,61,110,155,86,17,10,7,18,8,10,7,3,4,21,13,8,193,117,76,89,38,51,48,49,48,433,238,195,197,103,94,236,135,101,489,242,247,21,10,11,18,7,11,3,3,0,10,4,6,18,11,7,10,4,6,1.26,1.21,1.32,2.24,1.95,2.53,1.42,1.37,1.47,0.82,0.58,1.05,1.03,0.89,1.16,0.55,0.53,0.58,0.47,0.37,0.58,34,24,15,7,3,2,17,11,5,3,1,0,17,13,10,4,2,2,4,14,23,31,35,36,2,8,14,16,18,19,2,6,9,15,17,17,89,63,39,18,8,5,89,58,26,16,5,0,89,68,53,21,11,11,11,37,61,82,92,95,11,42,74,84,95,100,11,32,47,79,89,89,24,11,3,10,5,1,14,6,2,63,29,8,53,26,5,74,32,11,50,58,42,13,45,53,37,47,42,53,18,16,21,55,68,42,24,13,11,63,68,58,23,13,10,61,68,53,5,2,3,13,11,16,26,21,32,47,58,37,26,21,32,5.08,6.16,4.00,2.34,2,2.68,84,71,66,53,34,26,24,16,1.46,1.60,1.34,1.22,1.08,1.36,47,4,4,9,3,4,5,9,3,13,1,5,5,5,3,3,2,2,5,37,37,37,13,5,21,11
AS Roma,Roma,2023/2024,Italy,38,19,19,0,18,12,6,9,4,5,11,3,8,1.66,2.11,1.21,6,4,10,6,65,46,19,111,57,54,38,27,19,27,19,0,53,45,63,74,90,63,11,8,3,24,11,13,5,0,5,20,14,6,167,93,74,99,50,49,55,53,57,395,213,182,197,101,96,198,112,86,445,229,216,24,17,7,20,8,12,4,9,-5,11,8,3,17,9,8,10,2,8,1.32,1.74,0.89,2.92,3,2.84,1.71,2,1.42,1.21,1,1.42,1.16,1.32,1,0.63,0.89,0.37,0.53,0.42,0.63,36,30,23,13,6,2,19,15,10,7,3,2,17,15,13,6,3,0,2,8,15,25,32,36,0,4,9,12,16,17,2,4,6,13,16,19,95,79,61,34,16,5,100,79,53,37,16,11,89,79,68,32,16,0,5,21,39,66,84,95,0,21,47,63,84,89,11,21,32,68,84,100,26,15,3,14,9,2,12,6,1,68,39,8,74,47,11,63,32,5,47,63,32,17,29,42,16,63,58,68,13,0,26,53,74,32,22,12,10,58,63,53,21,7,14,55,37,74,7,5,2,18,26,11,29,42,16,45,47,42,26,11,42,4.39,4.89,3.89,2.61,2.63,2.58,82,68,53,42,32,21,8,3,1.32,1.40,1.24,1.31,1.13,1.49,74,4,6,5,4,6,11,7,5,17,4,7,2,3,9,3,5,3,10,24,21,26,29,16,42,3
Cagliari Calcio,Cagliari,2023/2024,Italy,38,19,19,0,8,6,2,12,7,5,18,6,12,0.95,1.32,0.58,17,12,17,17,42,68,-26,110,60,50,28,14,32,36,-4,-22,81,61,122,50,54,48,5,2,3,25,16,9,11,3,8,11,6,5,175,98,77,82,40,42,42,41,43,388,211,177,175,101,74,213,110,103,469,243,226,12,9,3,29,16,13,-17,-7,-10,6,4,2,14,6,8,18,9,9,0.84,0.95,0.74,2.89,3.16,2.63,1.11,1.47,0.74,1.79,1.68,1.89,1.08,1.32,0.84,0.32,0.47,0.16,0.76,0.84,0.68,35,32,22,12,5,3,17,17,12,7,4,2,18,15,10,5,1,1,3,6,16,26,33,35,2,2,7,12,15,17,1,4,9,14,18,18,92,84,58,32,13,8,89,89,63,37,21,11,95,79,53,26,5,5,8,16,42,68,87,92,11,11,37,63,79,89,5,21,47,74,95,95,27,13,1,15,9,1,12,4,0,71,34,3,79,47,5,63,21,0,21,32,11,19,13,11,16,66,84,47,29,16,42,29,32,26,17,8,9,45,42,47,28,12,16,74,63,84,4,3,1,11,16,5,16,21,11,37,32,42,47,47,47,4.61,5.16,4.05,2.16,2.11,2.21,92,71,63,53,47,34,26,18,1.27,1.39,1.14,1.42,1.31,1.52,79,1,1,5,3,3,2,7,9,11,4,6,10,6,5,12,8,5,12,32,37,26,47,32,63,11
Torino FC,Torino,2023/2024,Italy,38,19,19,0,13,8,5,14,9,5,11,2,9,1.39,1.74,1.05,10,9,12,10,36,36,0,72,27,45,18,18,9,27,9,-9,95,95,95,95,191,63,18,13,5,12,4,8,17,9,8,13,8,5,176,110,66,77,30,47,52,53,51,364,189,175,164,87,77,200,102,98,465,214,251,15,6,9,9,1,8,6,5,1,8,4,4,27,15,12,3,0,3,1.34,1.42,1.26,1.89,1.42,2.37,0.95,0.95,0.95,0.95,0.47,1.42,0.63,0.37,0.89,0.39,0.32,0.47,0.24,0.05,0.42,29,24,12,4,3,0,12,9,5,1,0,0,17,15,7,3,3,0,9,14,26,34,35,38,7,10,14,18,19,19,2,4,12,16,16,19,76,63,32,11,8,0,63,47,26,5,0,0,89,79,37,16,16,0,24,37,68,89,92,100,37,53,74,95,100,100,11,21,63,84,84,100,14,8,1,5,2,0,9,6,1,37,21,3,26,11,0,47,32,5,34,42,26,26,47,68,26,32,21,42,45,47,42,34,42,26,32,18,14,84,95,74,26,14,12,68,74,63,4,1,3,11,5,16,21,21,21,71,79,63,8,0,16,4.63,5.79,3.47,2.03,1.58,2.47,71,61,53,42,28,5,3,3,1.11,1.16,1.05,1.21,0.99,1.42,53,3,1,4,2,8,5,4,1,8,2,1,1,1,6,8,8,4,5,37,47,26,29,11,47,3
Empoli FC,Empoli,2023/2024,Italy,38,19,19,0,9,5,4,9,5,4,20,9,11,0.95,1.05,0.84,16,18,14,16,29,54,-25,83,38,45,15,14,23,31,-8,-17,118,114,122,63,74,55,9,6,3,12,5,7,21,11,10,10,6,4,176,87,89,88,43,45,44,43,45,337,176,161,158,88,70,179,88,91,526,267,259,11,8,3,22,10,12,-11,-2,-9,7,4,3,16,10,6,15,5,10,0.97,1.16,0.79,2.18,2,2.37,0.76,0.79,0.74,1.42,1.21,1.63,0.87,0.95,0.79,0.29,0.42,0.16,0.58,0.53,0.63,34,24,12,5,4,2,16,10,6,2,2,1,18,14,6,3,2,1,4,14,26,33,34,36,3,9,13,17,17,18,1,5,13,16,17,18,89,63,32,13,11,5,84,53,32,11,11,5,95,74,32,16,11,5,11,37,68,87,89,95,16,47,68,89,89,95,5,26,68,84,89,95,24,6,2,11,5,1,13,1,1,63,16,5,58,26,5,68,5,5,24,26,21,10,24,32,16,32,26,37,55,58,53,26,32,21,21,12,9,55,63,47,29,13,16,76,68,84,2,2,0,5,11,0,18,21,16,42,53,32,39,26,53,4.63,4.58,4.68,2.32,2.26,2.37,92,92,79,68,57,39,26,18,0.90,0.95,0.86,1.56,1.46,1.65,34,3,3,3,2,0,1,4,3,10,6,2,6,4,5,9,6,4,12,24,26,21,53,47,58,8
Genoa CFC,Genoa,2023/2024,Italy,38,19,19,0,12,8,4,13,6,7,13,5,8,1.29,1.58,1,11,10,13,11,45,45,0,90,49,41,27,18,22,23,5,-5,76,63,95,76,78,74,9,6,3,22,11,11,10,3,7,15,9,6,142,91,51,79,36,43,44,46,42,358,200,158,166,91,75,192,109,83,444,215,229,22,13,9,20,12,8,2,1,1,12,8,4,18,5,13,8,6,2,1.42,1.53,1.32,2.37,2.58,2.16,1.18,1.42,0.95,1.18,1.16,1.21,1.11,1.32,0.89,0.58,0.68,0.47,0.53,0.63,0.42,35,26,16,7,5,1,18,14,8,5,4,0,17,12,8,2,1,1,3,12,22,31,33,37,1,5,11,14,15,19,2,7,11,17,18,18,92,68,42,18,13,3,95,74,42,26,21,0,89,63,42,11,5,5,8,32,58,82,87,97,5,26,58,74,79,100,11,37,58,89,95,95,26,13,3,16,7,2,10,6,1,68,34,8,84,37,11,53,32,5,32,42,21,11,24,32,16,58,58,58,26,16,37,39,47,32,22,10,12,58,53,63,20,9,11,53,47,58,8,3,5,21,16,26,32,42,21,47,26,68,21,32,11,3.74,4.79,2.68,2.08,1.89,2.26,79,71,57,45,37,21,13,8,0.94,1.05,0.84,1.35,1.18,1.53,58,2,6,2,6,9,10,5,2,3,4,2,6,6,3,3,4,5,12,34,32,37,34,26,42,3
AC Milan,AC Milan,2023/2024,Italy,38,19,19,0,22,12,10,9,4,5,7,3,4,1.97,2.11,1.84,2,5,2,2,76,49,27,125,55,70,38,38,17,32,21,6,45,45,45,70,101,54,13,8,5,23,9,14,3,2,1,26,14,12,192,106,86,94,37,57,57,56,59,473,250,223,252,132,120,221,118,103,430,220,210,36,19,17,18,5,13,18,14,4,18,11,7,15,7,8,5,1,4,1.82,2.11,1.53,3.29,2.89,3.68,2,2,2,1.29,0.89,1.68,1.42,1.26,1.58,0.95,1,0.89,0.47,0.26,0.68,37,28,25,19,10,6,19,12,10,7,4,3,18,16,15,12,6,3,1,10,13,19,28,32,0,7,9,12,15,16,1,3,4,7,13,16,97,74,66,50,26,16,100,63,53,37,21,16,95,84,79,63,32,16,3,26,34,50,74,84,0,37,47,63,79,84,5,16,21,37,68,84,30,20,3,15,7,1,15,13,2,79,53,8,79,37,5,79,68,11,58,63,53,16,34,42,26,61,47,74,8,11,5,68,74,63,24,14,10,63,74,53,12,5,7,32,26,37,10,4,6,26,21,32,47,58,37,39,37,42,13,5,21,5.05,5.58,4.53,2.47,1.95,3.00,76,71,50,39,32,26,16,11,1.63,1.71,1.55,1.30,1.23,1.38,103,5,7,6,8,14,10,2,10,14,4,1,4,4,10,2,13,1,10,24,21,26,18,16,21,8
SS Lazio,Lazio,2023/2024,Italy,38,19,19,0,18,10,8,7,4,3,13,5,8,1.61,1.79,1.42,7,8,6,7,49,39,10,88,37,51,23,26,14,25,9,1,70,74,66,87,122,68,13,9,4,19,7,12,8,5,3,25,12,13,197,103,94,107,52,55,53,54,51,360,190,170,181,94,87,179,96,83,460,229,231,22,9,13,13,6,7,9,3,6,14,4,10,19,13,6,5,2,3,1.61,1.32,1.89,2.32,1.95,2.68,1.29,1.21,1.37,1.03,0.74,1.32,0.92,0.79,1.05,0.58,0.47,0.68,0.34,0.32,0.37,36,26,15,8,3,0,17,10,5,3,2,0,19,16,10,5,1,0,2,12,23,30,35,38,2,9,14,16,17,19,0,3,9,14,18,19,95,68,39,21,8,0,89,53,26,16,11,0,100,84,53,26,5,0,5,32,61,79,92,100,11,47,74,84,89,100,0,16,47,74,95,100,23,9,2,8,4,2,15,5,0,61,24,5,42,21,11,79,26,0,47,53,42,11,34,47,21,50,37,63,21,26,16,66,63,68,27,13,14,71,68,74,20,13,7,53,68,37,6,4,2,16,21,11,37,21,53,50,68,32,13,11,16,5.18,5.42,4.95,2.82,2.74,2.89,87,71,53,39,37,28,26,21,1.13,1.20,1.06,1.30,1.08,1.52,66,4,6,5,4,6,6,6,4,8,1,4,1,5,4,6,9,3,6,18,21,16,34,26,42,16
Atalanta Bergamasca Calcio,Atalanta,2023/2024,Italy,38,19,19,0,21,13,8,6,2,4,11,4,7,1.82,2.16,1.47,4,2,5,4,72,42,30,114,58,56,42,30,16,26,26,4,48,41,57,81,107,66,15,10,5,20,9,11,4,1,3,25,14,11,210,119,91,76,26,50,51,53,50,465,266,199,246,145,101,219,121,98,486,217,269,35,22,13,21,7,14,14,15,-1,17,11,6,10,4,6,11,4,7,1.61,1.95,1.26,3,3.05,2.95,1.89,2.21,1.58,1.11,0.84,1.37,1.47,1.53,1.42,0.92,1.16,0.68,0.55,0.37,0.74,37,34,25,11,7,0,18,17,13,6,4,0,19,17,12,5,3,0,1,4,13,27,31,38,1,2,6,13,15,19,0,2,7,14,16,19,97,89,66,29,18,0,95,89,68,32,21,0,100,89,63,26,16,0,3,11,34,71,82,100,5,11,32,68,79,100,0,11,37,74,84,100,32,18,4,16,9,2,16,9,2,84,47,11,84,47,11,84,47,11,55,68,42,21,39,53,26,53,47,58,11,5,16,66,74,58,23,14,9,61,74,47,14,6,8,37,32,42,7,2,5,18,11,26,45,58,32,26,21,32,29,21,37,5.53,6.26,4.79,2,1.37,2.63,95,71,53,42,26,18,13,13,1.66,1.91,1.41,1.24,1.13,1.36,76,3,11,6,7,10,12,5,6,12,5,3,3,3,7,7,4,4,6,16,11,21,29,21,37,5
