name,season,status,format,number_of_clubs,total_matches,matches_completed,game_week,total_game_week,progress,average_goals_per_match,average_scored_home_team,average_scored_away_team,btts_percentage,clean_sheets_percentage,prediction_risk,home_scored_advantage_percentage,home_defence_advantage_percentage,home_advantage_percentage,average_corners_per_match,average_corners_per_match_home_team,average_corners_per_match_away_team,total_corners_for_season,average_cards_per_match,average_cards_per_match_home_team,average_cards_per_match_away_team,total_cards_for_season,over_05_percentage,over_15_percentage,over_25_percentage,over_35_percentage,over_45_percentage,over_55_percentage,under_05_percentage,under_15_percentage,under_25_percentage,under_35_percentage,under_45_percentage,under_55_percentage,over_65_corners_percentage,over_75_corners_percentage,over_85_corners_percentage,over_95_corners_percentage,over_105_corners_percentage,over_115_corners_percentage,over_125_corners_percentage,over_135_corners_percentage,over_05_cards_percentage,over_15_cards_percentage,over_25_cards_percentage,over_35_cards_percentage,over_45_cards_percentage,over_55_cards_percentage,over_65_cards_percentage,over_75_cards_percentage,goals_min_0_to_10,goals_min_11_to_20,goals_min_21_to_30,goals_min_31_to_40,goals_min_41_to_50,goals_min_51_to_60,goals_min_61_to_70,goals_min_71_to_80,goals_min_81_to_90,goals_min_0_to_15,goals_min_16_to_30,goals_min_31_to_45,goals_min_46_to_60,goals_min_61_to_75,goals_min_76_to_90,xg_avg_per_match,Season
La Liga,2008/2009,Completed,,20,380,380,38,38,100,2.9,1.66,1.24,54,51,81,34,25,30,0.0,0.0,0.0,0,6.27,3.01,3.25,2363,95,77,53,31,19,9,5,23,47,69,81,91,0,0,0,0,0,0,0,0,100,98,95,87,73,57,43,28,94,114,116,113,134,122,116,104,188,139,185,186,183,169,239,0.0,2008-to-2009
La Liga,2009/2010,Completed,,20,380,380,38,38,100,2.71,1.6,1.11,52,56,74,44,31,38,0.0,0.0,0.0,0,5.97,2.66,3.31,2233,92,77,51,28,16,6,8,23,49,71,84,94,0,0,0,0,0,0,0,0,100,98,89,81,68,57,41,27,82,90,110,101,117,122,112,136,161,125,157,160,180,173,236,0.0,2009-to-2010
La Liga,2010/2011,Completed,,20,380,380,38,38,100,2.74,1.64,1.11,50,56,76,48,32,40,10.77,6.18,4.59,4091,5.81,2.75,3.06,2209,93,75,54,28,14,5,7,25,46,71,86,95,87,82,73,63,52,40,31,23,99,94,89,82,71,53,39,24,88,91,114,108,124,118,126,115,158,139,154,186,164,175,224,0.0,2010-to-2011
La Liga,2011/2012,Completed,,20,380,380,38,38,100,2.76,1.68,1.08,51,57,77,56,36,46,10.84,6.17,4.67,4119,6.36,2.97,3.39,2418,91,73,54,31,15,7,9,27,46,69,85,93,91,82,71,61,51,42,33,22,100,98,94,87,75,61,43,32,79,97,105,104,119,113,126,128,179,130,151,168,168,193,240,0.0,2011-to-2012
La Liga,2012/2013,Completed,,20,380,380,38,38,100,2.87,1.69,1.18,53,53,80,43,30,37,11.18,6.36,4.82,4247,6.2,2.91,3.3,2357,93,76,54,32,17,10,7,24,46,68,83,90,93,89,77,66,55,44,35,23,99,97,91,84,72,62,44,28,94,104,134,107,128,123,109,109,183,147,185,185,173,163,238,0.0,2012-to-2013
La Liga,2013/2014,Completed,,20,380,380,38,38,100,2.75,1.63,1.12,47,61,72,46,31,39,11.07,6.18,4.89,4208,5.54,2.61,2.93,2105,92,72,53,32,17,6,8,28,47,68,83,94,93,85,77,67,56,42,32,22,99,95,90,80,62,49,31,22,89,82,102,113,119,115,127,137,161,126,147,182,165,202,223,0.0,2013-to-2014
La Liga,2014/2015,Completed,,20,380,380,38,38,100,2.66,1.54,1.12,47,61,70,38,27,33,10.23,5.83,4.4,3815,5.89,2.76,3.13,2238,92,74,48,27,13,7,8,26,52,73,87,93,88,79,66,53,44,33,26,18,99,97,90,79,67,54,40,30,71,88,97,133,103,116,102,126,173,112,144,200,152,166,235,0.0,2014-to-2015
La Liga,2015/2016,Completed,,20,380,380,38,38,100,2.74,1.62,1.13,50,56,75,43,30,37,10.11,5.73,4.38,3843,5.86,2.74,3.12,2228,93,77,52,28,13,7,7,23,48,71,87,93,87,77,64,55,43,33,23,16,99,98,92,84,68,53,36,23,102,97,116,93,121,115,103,111,185,151,164,159,170,155,244,0.0,2015-to-2016
La Liga,2016/2017,Completed,,20,380,380,38,38,100,2.94,1.66,1.28,56,51,84,30,23,27,9.47,5.53,3.94,3600,5.49,2.53,2.96,2086,93,78,56,34,20,8,7,22,44,66,80,92,82,73,61,47,37,24,17,11,100,96,89,79,65,49,32,20,87,92,114,105,131,129,138,127,195,133,160,188,177,203,257,3.11,2016-to-2017
La Liga,2017/2018,Completed,,20,380,380,38,38,100,2.69,1.55,1.15,47,61,69,35,26,31,9.81,5.61,4.2,3726,5.21,2.44,2.77,1978,93,71,51,28,14,7,7,28,49,72,86,93,86,76,65,53,40,27,19,12,99,96,86,73,57,41,27,17,75,93,108,111,97,122,115,122,181,119,157,160,170,168,250,3.01,2017-to-2018
La Liga,2018/2019,Completed,,20,380,380,38,38,100,2.59,1.45,1.13,52,56,63,28,22,25,9.59,5.57,4.02,3643,5.34,2.6,2.74,2029,93,74,47,25,12,5,7,26,53,75,88,95,84,74,61,50,37,26,18,12,100,96,90,78,61,43,28,18,63,94,78,102,106,123,113,111,193,105,130,167,164,166,251,2.8,2018-to-2019
La Liga,2019/2020,Completed,,20,380,380,38,38,100,2.48,1.44,1.04,50,59,62,38,28,33,9.24,5.04,4.19,3510,5.38,2.67,2.71,2045,91,73,46,22,10,4,9,27,54,78,90,96,79,68,56,47,35,23,16,9,99,95,88,77,62,45,31,18,63,107,82,83,125,96,107,111,168,124,128,148,156,157,229,2.91,2019-to-2020
La Liga,2020/2021,Completed,,20,380,380,38,38,100,2.51,1.37,1.14,52,56,66,20,17,19,8.73,4.43,4.3,3318,4.71,2.29,2.42,1789,92,73,44,25,10,4,8,27,56,75,90,96,76,63,51,37,26,19,11,8,97,93,82,67,50,35,22,12,81,97,89,100,116,99,105,106,160,130,137,172,143,158,213,2.74,2020-to-2021
La Liga,2021/2022,Completed,,20,380,380,38,38,100,2.5,1.42,1.08,49,63,60,31,24,28,9.41,5.21,4.21,3577,5.47,2.69,2.79,2080,89,69,44,26,13,6,11,31,56,74,87,94,82,73,63,48,35,22,15,10,99,96,87,75,61,47,31,20,78,94,85,91,110,109,93,101,190,130,127,158,152,136,248,3.05,2021-to-2022
La Liga,2022/2023,Completed,,20,380,380,38,38,100,2.51,1.46,1.06,50,56,61,38,27,33,9.51,5.53,3.98,3615,5.51,2.64,2.87,2093,93,71,48,23,11,5,7,28,52,77,89,95,81,70,57,50,38,26,17,12,98,94,86,74,61,45,33,24,91,73,89,87,138,100,101,112,164,121,132,172,153,164,213,3.06,2022-to-2023
La Liga,2023/2024,Completed,,20,380,380,38,38,100,2.64,1.48,1.16,49,59,66,28,22,25,9.35,5.31,4.04,3552,5.1,2.51,2.58,1937,92,72,46,27,16,8,8,28,54,73,84,92,81,73,61,45,34,25,15,10,99,94,85,69,56,42,27,16,87,90,102,85,139,110,120,91,181,136,143,176,158,165,227,2.74,2023-to-2024
