team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Villarreal CF,Villarreal,2008/2009,Spain,38,19,19,0,18,12,6,11,3,8,9,4,5,1.71,2.05,1.37,5,5,5,5,61,54,7,115,58,57,33,28,25,29,8,-1,56,52,61,63,68,59,8,5,3,23,11,12,9,3,6,20,11,9,0,0,0,105,51,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,16,14,31,14,17,-1,2,-3,14,9,5,12,5,7,12,5,7,1.42,1.68,1.16,3.03,3.05,3,1.61,1.74,1.47,1.42,1.32,1.53,1.61,1.58,1.63,0.79,0.84,0.74,0.82,0.74,0.89,36,31,23,11,8,4,19,17,11,4,3,2,17,14,12,7,5,2,2,7,15,27,30,34,0,2,8,15,16,17,2,5,7,12,14,17,95,82,61,29,21,11,100,89,58,21,16,11,89,74,63,37,26,11,5,18,39,71,79,89,0,11,42,79,84,89,11,26,37,63,74,89,31,20,9,16,10,4,15,10,5,82,53,24,84,53,21,79,53,26,47,63,32,8,21,26,16,61,58,63,24,16,32,53,58,47,17,10,7,45,53,37,17,8,9,45,42,47,11,4,7,29,21,37,37,47,26,32,26,37,32,26,37,0.00,0.00,0.00,2.76,2.68,2.84,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,95,4,7,8,7,8,8,9,3,7,8,4,6,6,8,4,6,2,10,29,16,42,24,21,26,0
FC Barcelona,FC Barcelona,2008/2009,Spain,38,19,19,0,27,14,13,6,3,3,5,2,3,2.29,2.37,2.21,1,1,1,1,105,35,70,140,75,65,61,44,14,21,47,23,33,28,39,98,122,81,15,9,6,21,9,12,2,1,1,27,15,12,0,0,0,84,43,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,36,16,15,5,10,37,31,6,21,12,9,10,5,5,7,2,5,1.92,2.16,1.68,3.68,3.95,3.42,2.76,3.21,2.32,0.92,0.74,1.11,1.76,2.16,1.37,1.37,1.89,0.84,0.39,0.26,0.53,38,33,25,19,13,7,19,18,13,12,8,4,19,15,12,7,5,3,0,5,13,19,25,31,0,1,6,7,11,15,0,4,7,12,14,16,100,87,66,50,34,18,100,95,68,63,42,21,100,79,63,37,26,16,0,13,34,50,66,82,0,5,32,37,58,79,0,21,37,63,74,84,29,18,11,15,12,6,14,6,5,76,47,29,79,63,32,74,32,26,71,74,68,18,39,47,32,55,47,63,5,5,5,71,79,63,25,14,11,66,74,58,14,6,8,37,32,42,8,3,5,21,16,26,55,63,47,26,26,26,18,11,26,0.00,0.00,0.00,2.21,2.26,2.16,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,129,8,16,11,10,11,10,9,13,17,0,8,4,1,4,7,3,6,2,16,16,16,13,11,16,0
Real Madrid CF,Real Madrid,2008/2009,Spain,38,19,19,0,25,14,11,3,2,1,10,3,7,2.05,2.32,1.79,2,2,3,2,83,52,31,135,78,57,49,34,29,23,20,11,41,35,50,66,59,74,14,7,7,21,12,9,3,0,3,24,12,12,0,0,0,131,60,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,29,11,28,19,9,12,10,2,14,9,5,16,6,10,8,4,4,1.53,1.74,1.32,3.55,4.11,3,2.18,2.58,1.79,1.37,1.53,1.21,1.79,2.53,1.05,1.05,1.53,0.58,0.74,1,0.47,38,30,23,16,11,8,19,14,12,11,8,6,19,16,11,5,3,2,0,8,15,22,27,30,0,5,7,8,11,13,0,3,8,14,16,17,100,79,61,42,29,21,100,74,63,58,42,32,100,84,58,26,16,11,0,21,39,58,71,79,0,26,37,42,58,68,0,16,42,74,84,89,30,16,9,18,10,8,12,6,1,79,42,24,95,53,42,63,32,5,66,74,58,3,37,37,37,55,63,47,8,0,16,63,63,63,20,8,12,53,42,63,14,3,11,37,16,58,12,9,3,32,47,16,37,47,26,42,32,53,21,21,21,0.00,0.00,0.00,3.54,3.33,3.74,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,111,5,11,6,12,16,9,10,5,9,5,7,7,7,4,7,4,2,9,8,11,5,26,16,37,0
Sevilla FC,Sevilla FC,2008/2009,Spain,38,19,19,0,21,11,10,7,2,5,10,6,4,1.84,1.84,1.84,3,8,2,3,54,39,15,93,48,45,28,26,20,19,8,7,63,61,66,87,86,90,18,8,10,14,7,7,10,5,5,22,11,11,0,0,0,113,51,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,10,19,9,10,2,2,0,9,4,5,22,12,10,7,3,4,1.29,1.26,1.32,2.45,2.53,2.37,1.42,1.47,1.37,1.03,1.05,1,1.05,1.05,1.05,0.55,0.58,0.53,0.5,0.47,0.53,34,23,15,11,5,3,18,11,8,5,3,2,16,12,7,6,2,1,4,15,23,27,33,35,1,8,11,14,16,17,3,7,12,13,17,18,89,61,39,29,13,8,95,58,42,26,16,11,84,63,37,32,11,5,11,39,61,71,87,92,5,42,58,74,84,89,16,37,63,68,89,95,21,11,4,10,5,2,11,6,2,55,29,11,53,26,11,58,32,11,55,58,53,1,47,42,53,37,37,37,26,26,26,58,58,58,23,12,11,61,63,58,24,12,12,63,63,63,8,4,4,21,21,21,24,21,26,58,63,53,18,16,21,0.00,0.00,0.00,2.97,2.68,3.26,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,50,4,2,5,8,4,7,3,6,15,1,9,3,2,6,2,7,2,7,18,11,26,26,32,21,0
Club Atlético de Madrid,Atlético Madrid,2008/2009,Spain,38,19,19,0,20,13,7,7,1,6,11,5,6,1.76,2.11,1.42,4,3,4,4,80,57,23,137,70,67,47,33,23,34,24,-1,43,36,52,60,74,50,10,7,3,25,11,14,4,1,3,20,11,9,0,0,0,124,65,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,19,17,27,11,16,9,8,1,19,10,9,8,3,5,11,6,5,1.71,1.74,1.68,3.61,3.68,3.53,2.11,2.47,1.74,1.5,1.21,1.79,1.66,1.58,1.74,0.95,1,0.89,0.71,0.58,0.84,37,34,25,17,13,6,19,17,14,10,7,2,18,17,11,7,6,4,1,4,13,21,25,32,0,2,5,9,12,17,1,2,8,12,13,15,97,89,66,45,34,16,100,89,74,53,37,11,95,89,58,37,32,21,3,11,34,55,66,84,0,11,26,47,63,89,5,11,42,63,68,79,33,18,9,17,9,4,16,9,5,87,47,24,89,47,21,84,47,26,53,68,37,18,26,37,16,66,58,74,11,5,16,53,58,47,22,11,11,58,58,58,12,6,6,32,32,32,9,4,5,24,21,26,50,53,47,21,16,26,29,32,26,0.00,0.00,0.00,3.26,3.42,3.11,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,111,5,7,11,8,7,10,4,11,17,10,4,5,6,7,6,6,4,9,18,5,32,29,26,32,0
Reial Club Deportiu Espanyol,RCD Espanyol,2008/2009,Spain,38,19,19,0,12,8,4,11,5,6,15,6,9,1.24,1.53,0.95,10,12,11,10,46,49,-3,95,50,45,28,18,22,27,6,-9,74,61,95,70,78,63,12,8,4,16,8,8,12,4,8,19,10,9,0,0,0,121,57,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,9,15,6,9,1,1,0,9,4,5,20,11,9,9,4,5,1.24,1.21,1.26,2.5,2.63,2.37,1.21,1.47,0.95,1.29,1.16,1.42,0.82,0.68,0.95,0.42,0.37,0.47,0.39,0.32,0.47,36,27,17,8,4,2,18,13,8,5,3,2,18,14,9,3,1,0,2,11,21,30,34,36,1,6,11,14,16,17,1,5,10,16,18,19,95,71,45,21,11,5,95,68,42,26,16,11,95,74,47,16,5,0,5,29,55,79,89,95,5,32,58,74,84,89,5,26,53,84,95,100,21,7,2,9,3,1,12,4,1,55,18,5,47,16,5,63,21,5,32,42,21,16,32,42,21,42,42,42,32,21,42,50,53,47,25,13,12,66,68,63,26,14,12,68,74,63,4,2,2,11,11,11,24,21,26,53,58,47,24,21,26,0.00,0.00,0.00,3.18,3,3.37,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,58,3,2,4,6,3,6,6,7,9,3,2,4,3,5,11,3,3,15,29,26,32,39,32,47,0
Málaga CF,Málaga CF,2008/2009,Spain,38,19,19,0,15,8,7,10,7,3,13,4,9,1.45,1.63,1.26,8,10,6,8,55,59,-4,114,51,63,28,27,23,36,5,-9,62,61,63,58,74,48,8,5,3,21,11,10,10,4,6,21,10,11,0,0,0,117,58,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,11,17,26,8,18,2,3,-1,13,6,7,17,10,7,8,3,5,1.47,1.47,1.47,3,2.68,3.32,1.45,1.47,1.42,1.55,1.21,1.89,1.42,1,1.84,0.74,0.58,0.89,0.68,0.42,0.95,37,32,20,14,7,3,18,15,8,6,3,1,19,17,12,8,4,2,1,6,18,24,31,35,1,4,11,13,16,18,0,2,7,11,15,17,97,84,53,37,18,8,95,79,42,32,16,5,100,89,63,42,21,11,3,16,47,63,82,92,5,21,58,68,84,95,0,11,37,58,79,89,27,18,7,11,6,2,16,12,5,71,47,18,58,32,11,84,63,26,39,42,37,12,21,26,16,55,58,53,26,21,32,55,53,58,22,13,9,58,68,47,17,10,7,45,53,37,10,4,6,26,21,32,34,32,37,45,53,37,21,16,26,0.00,0.00,0.00,3.08,3.05,3.11,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,87,5,6,6,10,3,5,5,4,11,6,4,4,6,9,8,8,9,5,26,37,16,34,21,47,0
Real Betis Balompié,Real Betis,2008/2009,Spain,38,19,19,0,10,4,6,12,8,4,16,7,9,1.11,1.05,1.16,18,19,8,18,51,58,-7,109,49,60,24,27,25,33,-1,-6,67,71,63,59,68,52,7,5,2,22,10,12,12,6,6,14,8,6,0,0,0,115,54,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,13,12,30,10,20,-5,3,-8,10,6,4,14,7,7,14,6,8,1.16,1.32,1,2.87,2.58,3.16,1.34,1.26,1.42,1.53,1.32,1.74,1.45,1.21,1.68,0.66,0.68,0.63,0.79,0.53,1.05,35,30,20,12,7,4,17,15,10,5,1,1,18,15,10,7,6,3,3,8,18,26,31,34,2,4,9,14,18,18,1,4,9,12,13,16,92,79,53,32,18,11,89,79,53,26,5,5,95,79,53,37,32,16,8,21,47,68,82,89,11,21,47,74,95,95,5,21,47,63,68,84,29,15,5,14,7,2,15,8,3,76,39,13,74,37,11,79,42,16,26,21,32,4,18,26,11,58,53,63,32,32,32,37,42,32,17,10,7,45,53,37,21,10,11,55,53,58,9,4,5,24,21,26,26,32,21,37,37,37,37,32,42,0.00,0.00,0.00,3.11,2.84,3.39,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,92,6,4,6,4,6,9,7,1,8,6,7,6,6,5,2,5,10,11,32,42,21,42,37,47,0
Athletic Club Bilbao,Athletic Club Bilbao,2008/2009,Spain,38,19,19,0,12,9,3,8,2,6,18,8,10,1.16,1.53,0.79,13,15,16,13,47,62,-15,109,57,52,28,19,29,33,-1,-14,73,61,90,55,59,52,7,5,2,23,11,12,9,3,6,10,8,2,0,0,0,132,70,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,8,28,11,17,-3,6,-9,7,6,1,22,10,12,9,3,6,1.13,1.47,0.79,2.87,3,2.74,1.24,1.47,1,1.63,1.53,1.74,1.39,1.47,1.32,0.66,0.89,0.42,0.74,0.58,0.89,37,31,19,11,8,2,19,15,10,6,5,1,18,16,9,5,3,1,1,7,19,27,30,36,0,4,9,13,14,18,1,3,10,14,16,18,97,82,50,29,21,5,100,79,53,32,26,5,95,84,47,26,16,5,3,18,50,71,79,95,0,21,47,68,74,95,5,16,53,74,84,95,27,19,4,14,9,3,13,10,1,71,50,11,74,47,16,68,53,5,32,47,16,13,18,26,11,61,58,63,24,16,32,26,42,11,18,11,7,47,58,37,20,8,12,53,42,63,11,5,6,29,26,32,18,32,5,58,53,63,24,16,32,0.00,0.00,0.00,3.47,3.68,3.26,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,53,3,2,7,5,12,2,4,4,8,5,7,6,9,3,8,6,7,11,21,11,32,47,42,53,0
Real Club Deportivo de La Coruña,Deportivo La Coruña,2008/2009,Spain,38,19,19,0,16,10,6,10,6,4,12,3,9,1.53,1.89,1.16,7,7,10,7,48,47,1,95,48,47,30,18,18,29,12,-11,71,57,95,73,95,59,14,8,6,18,10,8,10,3,7,19,12,7,0,0,0,94,45,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,4,22,8,14,-4,6,-10,9,9,0,18,6,12,11,4,7,1.18,1.74,0.63,2.5,2.53,2.47,1.26,1.58,0.95,1.24,0.95,1.53,1.05,1.16,0.95,0.47,0.74,0.21,0.58,0.42,0.74,34,25,17,9,6,2,17,14,8,4,2,1,17,11,9,5,4,1,4,13,21,29,32,36,2,5,11,15,17,18,2,8,10,14,15,18,89,66,45,24,16,5,89,74,42,21,11,5,89,58,47,26,21,5,11,34,55,76,84,95,11,26,58,79,89,95,11,42,53,74,79,95,24,11,4,14,5,2,10,6,2,63,29,11,74,26,11,53,32,11,42,53,32,24,37,42,32,47,53,42,26,16,37,50,63,37,22,13,9,58,68,47,23,8,15,61,42,79,7,3,4,18,16,21,24,47,0,47,32,63,29,21,37,0.00,0.00,0.00,2.47,2.37,2.58,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,61,5,5,3,2,7,4,7,6,9,1,4,8,6,8,4,3,5,8,26,32,21,32,16,47,0
