name,season,status,format,number_of_clubs,total_matches,matches_completed,game_week,total_game_week,progress,average_goals_per_match,average_scored_home_team,average_scored_away_team,btts_percentage,clean_sheets_percentage,prediction_risk,home_scored_advantage_percentage,home_defence_advantage_percentage,home_advantage_percentage,average_corners_per_match,average_corners_per_match_home_team,average_corners_per_match_away_team,total_corners_for_season,average_cards_per_match,average_cards_per_match_home_team,average_cards_per_match_away_team,total_cards_for_season,over_05_percentage,over_15_percentage,over_25_percentage,over_35_percentage,over_45_percentage,over_55_percentage,under_05_percentage,under_15_percentage,under_25_percentage,under_35_percentage,under_45_percentage,under_55_percentage,over_65_corners_percentage,over_75_corners_percentage,over_85_corners_percentage,over_95_corners_percentage,over_105_corners_percentage,over_115_corners_percentage,over_125_corners_percentage,over_135_corners_percentage,over_05_cards_percentage,over_15_cards_percentage,over_25_cards_percentage,over_35_cards_percentage,over_45_cards_percentage,over_55_cards_percentage,over_65_cards_percentage,over_75_cards_percentage,goals_min_0_to_10,goals_min_11_to_20,goals_min_21_to_30,goals_min_31_to_40,goals_min_41_to_50,goals_min_51_to_60,goals_min_61_to_70,goals_min_71_to_80,goals_min_81_to_90,goals_min_0_to_15,goals_min_16_to_30,goals_min_31_to_45,goals_min_46_to_60,goals_min_61_to_75,goals_min_76_to_90,xg_avg_per_match,Season
UEFA Champions League,2009/2010,Completed,cup,76,213,213,0,0,100,2.62,1.49,1.13,44,63,73,32,24,28,9.94,5.51,4.42,1242,4.02,1.73,2.29,852,92,72,46,30,13,6,8,28,54,70,87,94,86,76,63,52,39,28,25,18,99,92,76,56,36,21,12,7,52,58,49,47,73,57,62,60,101,82,77,91,86,88,135,0.0,2009-to-2010
UEFA Champions League,2010/2011,Completed,cup,76,213,213,0,0,100,2.78,1.68,1.11,43,62,83,51,34,43,9.86,5.44,4.42,1726,4.21,1.78,2.43,888,95,75,52,31,15,7,5,25,48,69,85,93,81,69,59,45,36,28,23,18,98,89,76,59,45,28,13,7,40,60,57,65,56,70,65,69,106,67,90,98,93,96,144,0.0,2010-to-2011
UEFA Champions League,2011/2012,Completed,cup,75,213,213,0,0,100,2.7,1.67,1.03,46,60,71,62,38,50,9.49,5.13,4.36,1385,4.59,2.0,2.59,964,93,79,46,27,13,5,7,21,54,73,87,95,75,66,59,49,38,27,18,14,100,95,81,67,46,30,18,10,44,50,53,52,79,62,64,71,99,65,82,101,92,98,136,0.0,2011-to-2012
UEFA Champions League,2012/2013,Completed,cup,76,213,213,0,0,100,2.79,1.6,1.19,49,56,76,34,26,30,10.44,6.09,4.35,1806,4.58,2.14,2.43,970,94,78,53,31,15,4,6,22,47,69,85,96,85,76,66,57,46,38,28,20,100,93,80,67,50,33,20,10,41,57,56,59,73,60,67,79,100,65,89,101,91,107,139,0.0,2012-to-2013
UEFA Champions League,2013/2014,Completed,cup,76,209,209,0,0,100,2.78,1.54,1.23,45,61,66,25,20,23,10.35,5.79,4.56,2050,4.67,2.08,2.6,977,93,77,52,30,15,6,7,23,48,70,85,94,87,82,72,56,46,35,26,20,99,94,85,65,45,33,22,13,52,45,60,45,56,75,81,65,97,73,84,77,99,112,131,0.0,2013-to-2014
UEFA Champions League,2014/2015,Completed,cup,77,211,211,0,0,100,2.7,1.67,1.03,41,67,72,62,38,50,9.6,5.35,4.25,1958,4.44,1.96,2.47,936,92,73,46,31,15,8,8,27,54,69,85,92,84,79,64,46,36,27,17,10,95,89,79,63,45,32,19,11,41,53,60,61,60,64,55,65,106,65,89,96,89,88,138,0.0,2014-to-2015
UEFA Champions League,2015/2016,Completed,cup,78,213,213,0,0,100,2.73,1.61,1.12,49,60,73,44,30,37,10.0,5.65,4.36,2061,4.65,2.1,2.55,991,92,77,52,28,15,6,8,23,48,71,85,94,85,74,65,56,46,33,23,16,97,92,84,68,51,36,21,10,42,67,54,57,58,72,61,71,96,76,87,87,100,93,135,0.0,2015-to-2016
UEFA Champions League,2016/2017,Completed,cup,78,217,217,0,0,100,2.85,1.71,1.14,51,56,71,50,33,42,9.45,5.41,4.04,1957,4.26,1.93,2.34,925,92,78,52,30,17,10,8,22,48,70,83,90,80,71,61,49,36,26,18,11,95,91,78,59,40,27,18,8,42,72,66,57,72,85,71,67,81,81,99,101,113,98,121,0.0,2016-to-2017
UEFA Champions League,2017/2018,Completed,cup,79,219,219,0,0,100,2.95,1.65,1.3,53,53,77,27,21,24,9.79,5.69,4.09,2143,4.31,2.06,2.25,943,94,81,60,32,16,8,6,19,40,68,84,92,85,74,63,52,36,26,20,15,95,86,77,64,49,26,14,7,59,69,51,69,70,75,78,79,92,93,86,113,101,116,133,3.15,2017-to-2018
UEFA Champions League,2018/2019,Completed,cup,79,216,216,0,0,100,2.67,1.55,1.13,46,63,69,37,27,32,9.68,5.42,4.26,2090,4.42,1.98,2.44,954,91,76,52,28,13,5,9,24,48,72,87,95,80,69,59,49,38,28,20,15,96,92,78,62,43,28,19,10,46,61,58,65,60,67,60,56,97,78,87,100,92,88,125,2.92,2018-to-2019
UEFA Champions League,2019/2020,Completed,cup,79,210,210,0,0,100,2.98,1.6,1.39,54,50,80,15,13,14,9.74,5.57,4.17,2045,4.46,2.14,2.32,937,95,82,59,33,15,6,5,18,41,67,85,94,80,70,62,48,40,30,24,18,98,90,76,59,48,31,21,12,57,49,58,52,71,74,76,67,116,80,84,96,101,99,160,3.2,2019-to-2020
UEFA Champions League,2020/2021,Completed,cup,79,178,178,0,0,100,2.89,1.55,1.34,48,57,76,16,14,15,9.28,4.91,4.37,1615,4.44,2.2,2.24,782,94,83,56,31,15,4,6,17,43,69,85,96,77,70,56,43,35,28,20,9,97,88,77,65,47,32,19,10,33,52,48,52,56,55,52,62,91,58,75,86,77,82,123,3.14,2020-to-2021
