team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Don Denis FC Santa Coloma,FC Santa Coloma,2011/2012,Andorra,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,7,7,68,0,4,-4,4,2,2,0,0,2,2,-2,-2,0,0,0,45,45,45,0,0,0,0,0,0,2,1,1,0,0,0,3,3,0,3,2,1,50,50,0,4,4,0,2,2,0,2,2,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,2,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,2,2,0,0,1,1,1,1,0,0,1,1,1,1,100,100,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,0,0,100,100,100,100,0,0,100,100,100,100,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,2,1,1,100,100,100,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,3.00,3.00,0.00,1.5,2,1.00,100,100,100,100,100,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,100,100,100,0
Rosenborg BK,Rosenborg,2011/2012,Norway,4,2,2,0,1,1,0,0,0,0,3,1,2,0.75,1.5,0,0,8,8,50,7,6,1,13,6,7,5,2,1,5,4,-3,51,36,90,60,180,36,1,1,0,1,0,1,2,1,1,2,1,1,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,1.5,1.5,1.5,3.25,3,3.5,1.75,2.5,1,1.5,0.5,2.5,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,4,3,2,2,2,0,2,1,1,1,1,0,2,2,1,1,1,0,0,1,2,2,2,4,0,1,1,1,1,2,0,0,1,1,1,2,100,75,50,50,50,0,100,50,50,50,50,0,100,100,50,50,50,0,0,25,50,50,50,100,0,50,50,50,50,100,0,0,50,50,50,100,4,0,0,2,0,0,2,0,0,100,0,0,100,0,0,100,0,0,25,50,0,55,25,50,0,25,0,50,50,50,50,50,50,50,2,1,1,50,50,50,2,1,1,50,50,50,0,0,0,0,0,0,50,50,50,0,0,0,50,50,50,0.00,0.00,0.00,2,3,1.50,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,125,0,0,0,0,3,0,0,3,1,0,0,1,1,0,2,0,1,1,0,0,0,75,50,100,0
FC Viktoria Plzeň,Viktoria Plzeň,2011/2012,Czech Republic,12,6,6,0,7,3,4,2,2,0,3,1,2,1.92,1.83,2,3,11,11,7,22,16,6,38,24,14,13,9,11,5,2,4,49,41,60,68,49,108,3,0,3,6,5,1,3,1,2,6,2,4,33,16,17,28,16,12,50,50,50,90,46,44,39,19,20,51,27,24,109,50,59,9,4,5,5,4,1,4,0,4,5,2,3,3,1,2,4,3,1,1.5,1.17,1.83,3.17,4,2.33,1.83,2.17,1.5,1.33,1.83,0.83,1.17,1.33,1,0.75,0.67,0.83,0.42,0.67,0.17,12,10,7,6,2,1,6,6,5,4,2,1,6,4,2,2,0,0,0,2,5,6,10,11,0,0,1,2,4,5,0,2,4,4,6,6,100,83,58,50,17,8,100,100,83,67,33,17,100,67,33,33,0,0,0,17,42,50,83,92,0,0,17,33,67,83,0,33,67,67,100,100,9,3,2,5,2,1,4,1,1,75,25,17,83,33,17,67,17,17,58,50,67,-10,25,0,50,50,83,17,25,17,33,50,33,67,8,3,5,67,50,83,7,4,3,58,67,50,0,0,0,0,0,0,42,33,50,25,17,33,33,50,17,3.67,4.00,3.40,2.55,3.2,2.00,67,56,56,44,22,22,11,11,0.00,0.00,0.00,0.00,0.00,0.00,67,1,0,1,3,4,5,1,3,4,1,0,1,1,5,1,3,2,2,17,33,0,25,17,33,11
FC BATE Borisov,BATE,2011/2012,Belarus,12,6,6,0,3,2,1,5,2,3,4,2,2,1.17,1.33,1,4,18,18,13,11,17,-6,28,16,12,7,4,9,8,-2,-4,98,77,134,63,60,68,3,1,2,5,3,2,5,2,3,3,2,1,26,17,9,23,11,12,50,50,50,85,50,35,29,16,13,56,34,22,105,50,55,4,2,2,11,7,4,-7,-5,-2,2,1,1,3,1,2,7,4,3,0.75,0.67,0.83,2.33,2.67,2,0.92,1.17,0.67,1.42,1.5,1.33,1.25,1.5,1,0.33,0.33,0.33,0.92,1.17,0.67,11,10,3,3,1,0,6,5,2,2,1,0,5,5,1,1,0,0,1,2,9,9,11,12,0,1,4,4,5,6,1,1,5,5,6,6,92,83,25,25,8,0,100,83,33,33,17,0,83,83,17,17,0,0,8,17,75,75,92,100,0,17,67,67,83,100,17,17,83,83,100,100,10,3,2,5,2,2,5,1,0,83,25,17,83,33,33,83,17,0,25,33,17,11,25,17,33,42,50,33,42,33,50,25,33,17,3,1,2,25,17,33,9,5,4,75,83,67,2,1,1,17,17,17,17,17,17,25,17,33,58,67,50,3.25,4.25,2.25,1.92,1.83,2.00,63,50,50,38,25,25,13,13,0.00,0.00,0.00,0.00,0.00,0.00,50,0,1,0,3,0,3,3,0,1,1,2,3,3,2,2,2,0,2,42,33,50,33,33,33,13
Tallinna FC Flora,Tallinna FC Flora,2011/2012,Estonia,2,1,1,0,0,0,0,1,1,0,1,0,1,0.5,1,0,0,19,19,56,0,1,-1,1,0,1,0,0,0,1,0,-1,0,0,0,180,0,90,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,-1,0,0,0,1,1,0,1,0,1,0.5,1,0,0.5,0,1,0,0,0,0.5,0,1,0.5,0,1,0,0,0,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,1,1,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,50,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,1,0,0,0,0,0,1,0,0,50,0,0,0,0,0,100,0,0,0,0,0,50,50,100,0,0,0,0,100,100,100,0,0,0,1,1,0,50,100,0,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,50,100,0,50,0,100,0.00,0.00,0.00,1.5,3,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50,100,0,50,0,100,0
F91 Dudelange,F91 Dudelange,2011/2012,Luxembourg,4,2,2,0,2,1,1,0,0,0,2,1,1,1.5,1.5,1.5,0,22,22,40,5,5,0,10,6,4,3,2,3,2,0,0,72,60,90,72,60,90,2,1,1,1,1,0,1,0,1,2,1,1,8,0,8,16,6,10,50,0,50,8,0,8,4,0,4,4,0,4,22,0,22,0,0,0,3,1,2,-3,-1,-2,0,0,0,2,1,1,2,1,1,0.5,0.5,0.5,2.5,3,2,1.25,1.5,1,1.25,1.5,1,0.75,0.5,1,0,0,0,0.75,0.5,1,4,4,1,1,0,0,2,2,1,1,0,0,2,2,0,0,0,0,0,0,3,3,4,4,0,0,1,1,2,2,0,0,2,2,2,2,100,100,25,25,0,0,100,100,50,50,0,0,100,100,0,0,0,0,0,0,75,75,100,100,0,0,50,50,100,100,0,0,100,100,100,100,2,1,0,1,0,0,1,1,0,50,25,0,50,0,0,50,50,0,50,50,50,0,50,50,50,25,50,0,25,0,50,50,50,50,2,1,1,50,50,50,4,2,2,100,100,100,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,8.00,0.00,8.00,4,3,5.00,100,100,100,100,100,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,75,0,0,0,0,0,3,0,1,1,0,0,1,1,1,0,0,2,0,0,0,0,50,50,50,0
Valletta FC,Valletta,2011/2012,Malta,4,2,2,0,2,1,1,0,0,0,2,1,1,1.5,1.5,1.5,0,24,24,38,7,5,2,12,8,4,4,3,4,1,0,2,51,45,60,72,45,180,1,0,1,2,2,0,1,0,1,1,0,1,3,0,3,9,4,5,50,0,50,15,0,15,10,0,10,5,0,5,16,0,16,2,1,1,5,4,1,-3,-3,0,1,0,1,0,0,0,3,2,1,0.75,0,1.5,3,4,2,1.75,2,1.5,1.25,2,0.5,1.75,2.5,1,0.5,0.5,0.5,1.25,2,0.5,4,3,3,1,1,0,2,2,2,1,1,0,2,1,1,0,0,0,0,1,1,3,3,4,0,0,0,1,1,2,0,1,1,2,2,2,100,75,75,25,25,0,100,100,100,50,50,0,100,50,50,0,0,0,0,25,25,75,75,100,0,0,0,50,50,100,0,50,50,100,100,100,4,1,1,2,1,1,2,0,0,100,25,25,100,50,50,100,0,0,50,50,50,-23,25,0,50,50,100,0,25,0,50,25,0,50,1,0,1,25,0,50,2,1,1,50,50,50,1,1,0,25,50,0,25,0,50,0,0,0,75,100,50,3.00,0.00,3.00,2.25,2,2.50,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,75,0,0,0,0,3,1,1,0,2,1,1,2,0,1,0,0,0,0,0,0,0,50,50,50,0
GNK Dinamo Zagreb,Dinamo Zagreb,2011/2012,Croatia,12,6,6,0,4,3,1,1,0,1,7,3,4,1.08,1.5,0.67,4,26,26,17,13,26,-13,39,20,19,9,4,11,15,-2,-11,83,60,134,41,49,36,3,2,1,4,2,2,6,2,4,4,4,0,32,22,10,35,15,20,50,50,50,79,53,26,42,31,11,37,22,15,98,50,48,4,3,1,11,2,9,-7,1,-8,1,1,0,8,5,3,3,0,3,0.92,1.33,0.5,3.25,3.33,3.17,1.08,1.5,0.67,2.17,1.83,2.5,1.25,0.83,1.67,0.33,0.5,0.17,0.92,0.33,1.5,11,9,6,4,3,2,6,4,3,2,2,1,5,5,3,2,1,1,1,3,6,8,9,10,0,2,3,4,4,5,1,1,3,4,5,5,92,75,50,33,25,17,100,67,50,33,33,17,83,83,50,33,17,17,8,25,50,67,75,83,0,33,50,67,67,83,17,17,50,67,83,83,7,6,1,3,2,0,4,4,1,58,50,8,50,33,0,67,67,17,33,50,17,28,25,33,17,33,33,33,50,33,67,33,67,0,6,4,2,50,67,33,8,3,5,67,50,83,3,2,1,25,33,17,8,17,0,67,83,50,25,0,50,4.00,5.50,2.50,2.92,2.5,3.33,75,75,75,50,38,25,25,25,0.00,0.00,0.00,0.00,0.00,0.00,117,1,1,0,2,1,1,2,1,4,3,4,2,0,6,2,5,1,3,8,0,17,58,50,67,13
APOEL FC,APOEL,2011/2012,Cyprus,16,8,8,0,7,5,2,4,1,3,5,2,3,1.56,2,1.13,2,28,28,5,20,17,3,37,20,17,12,8,8,9,4,-1,72,60,90,85,90,80,6,3,3,6,3,3,6,3,3,7,4,3,36,19,17,36,21,15,50,50,50,79,46,33,38,16,22,41,30,11,148,60,88,4,3,1,3,0,3,1,3,-2,3,3,0,12,5,7,1,0,1,1.31,1.75,0.88,2.31,2.5,2.13,1.25,1.5,1,1.06,1,1.13,0.44,0.38,0.5,0.25,0.38,0.13,0.19,0,0.38,14,11,6,3,1,1,7,6,5,2,0,0,7,5,1,1,1,1,2,5,10,13,15,15,1,2,3,6,8,8,1,3,7,7,7,7,88,69,38,19,6,6,88,75,63,25,0,0,88,63,13,13,13,13,12,31,62,81,94,94,12,25,37,75,100,100,12,37,87,87,87,87,5,2,0,3,0,0,2,2,0,31,13,0,38,0,0,25,25,0,44,63,25,13,38,38,38,38,38,38,38,38,38,44,50,38,14,8,6,88,100,75,12,5,7,75,63,88,1,0,1,6,0,13,19,38,0,75,63,88,6,0,13,3.27,3.80,2.83,2.4,3,1.88,91,91,91,73,55,36,18,0,0.00,0.00,0.00,0.00,0.00,0.00,88,1,1,1,0,1,5,3,3,5,0,1,1,1,0,1,3,6,4,25,13,38,31,25,38,0
Helsingin Jalkapalloklubi,HJK,2011/2012,Finland,4,2,2,0,2,1,1,0,0,0,2,1,1,1.5,1.5,1.5,0,34,34,37,14,3,11,17,13,4,11,3,2,1,9,2,26,16,60,120,90,180,2,1,1,1,1,0,1,0,1,3,2,1,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,1,0,3,2,1,2,1,1,2,1,1,0,0,0,2,2,2,4.25,6.5,2,3.5,5.5,1.5,0.75,1,0.5,1.25,2,0.5,1,1.5,0.5,0.25,0.5,0,4,3,3,1,1,1,2,2,2,1,1,1,2,1,1,0,0,0,0,1,1,3,3,3,0,0,0,1,1,1,0,1,1,2,2,2,100,75,75,25,25,25,100,100,100,50,50,50,100,50,50,0,0,0,0,25,25,75,75,75,0,0,0,50,50,50,0,50,50,100,100,100,3,2,0,2,2,0,1,0,0,75,50,0,100,100,0,50,0,0,50,50,50,12,50,50,50,25,50,0,25,0,50,75,100,50,3,1,2,75,50,100,1,0,1,25,0,50,1,1,0,25,50,0,50,50,50,50,50,50,0,0,0,0.00,0.00,0.00,1.5,0.5,2.50,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,225,0,2,0,1,2,3,3,1,2,0,1,0,0,0,0,0,1,1,0,0,0,50,50,50,0
